harmstring,cuadriceps,t
-0.000206580385565758,-0.00294224987737834,1713350771.62725
-0.000216605287278071,-0.00295352493412793,1713350771.68463
-0.000225908981519751,-0.00295292399823666,1713350771.68571
-0.000211556776775978,-0.00297468062490225,1713350771.7124
-0.00020078661327716,-0.0029728536028415,1713350771.71334
-0.000215932159335352,-0.00294888508506119,1713350771.73268
-0.000255575025221333,-0.0029278255533427,1713350771.73366
-0.000256873201578856,-0.0029209500644356,1713350771.74573
-0.000246535753831267,-0.00292465230450034,1713350771.74624
-0.000241919988184236,-0.00292854686267674,1713350771.80082
-0.000233938524615951,-0.00293837930075824,1713350771.80258
-0.000231053651077673,-0.00294621661305428,1713350771.82216
-0.000238938955590129,-0.00295455870218575,1713350771.82257
-0.000238458145759068,-0.00296097761020064,1713350771.85255
-0.000233265382121317,-0.00298047438263893,1713350771.85358
-0.000228361110202968,-0.00299458624795079,1713350771.90042
-0.000219057430513203,-0.00301290513016284,1713350771.9242
-0.000224202100071125,-0.00301473215222359,1713350771.94876
-0.000223577051656321,-0.00301845837384462,1713350771.94985
-0.000224995441385545,-0.00301473215222359,1713350771.96451
-0.000219057430513203,-0.00301713612861931,1713350771.96597
-0.00022525989334099,-0.00301249627955258,1713350772.01689
-0.000213912746403366,-0.00301663135178387,1713350772.01809
-0.000220668138354085,-0.00300766434520483,1713350772.04848
-0.000254661485087126,-0.00302074220962822,1713350772.04959
-0.000179366485099308,-0.00303410878404975,1713350772.0887
-0.00018552086839918,-0.00302487728185952,1713350772.0898
-0.00023540499387309,-0.00301249627955258,1713350772.16453
-0.00026759528554976,-0.00298650865443051,1713350772.16588
-0.00014085354632698,-0.00297463242895901,1713350772.18042
-0.000155902918777429,-0.00297299772500992,1713350772.18145
-0.000247785879764706,-0.00299997115507722,1713350772.21668
-0.000436888774856925,-0.00301538128405809,1713350772.21786
-5.13265586050693E-05,-0.00300523615442216,1713350772.25237
-0.000209753736271523,-0.00299927406013012,1713350772.25336
-0.000212181825190783,-0.0030075921677053,1713350772.32073
-4.14939786423929E-05,-0.00300581310875714,1713350772.32183
-0.000367123138858005,-0.00297203613445163,1713350772.34856
-0.000134915520902723,-0.00300352927297354,1713350772.34937
-0.000438331218902022,-0.00299701420590281,1713350772.3767
-0.000330365146510303,-0.00300910673104227,1713350772.37779
-0.000123953039292246,-0.00299530732445419,1713350772.42876
-0.000177467285539024,-0.00298600364476442,1713350772.42979
-0.000359382072929293,-0.00301663135178387,1713350772.46095
-0.000261200504610315,-0.00298629212193191,1713350772.48084
-0.000107725674752146,-0.0030290603172034,1713350772.5404
-0.000165639343322255,-0.00300497165881097,1713350772.5411
-0.000169269464095123,-0.00300749600864947,1713350772.56861
-0.000235693485592492,-0.00297492113895714,1713350772.56983
-0.000152489170432091,-0.00297807040624321,1713350772.59271
-0.00022182209067978,-0.00300247152335942,1713350772.59369
-0.000200426002265885,-0.00300593324936926,1713350772.62082
-0.000157201109686866,-0.00302331452257931,1713350772.62165
-0.000197444984223694,-0.00302182417362928,1713350772.66494
-0.00021780731913168,-0.00302280974574387,1713350772.66612
-0.000208455545362085,-0.00302973343059421,1713350772.72481
-0.000232568214414641,-0.0030228819232434,1713350772.72607
-0.000234659746638499,-0.00301230396144092,1713350772.84436
-0.000332047988194972,-0.0030306950211525,1713350772.84588
-0.000206965036340989,-0.00302961328998208,1713350772.86832
-0.000319042039336637,-0.00303324335254729,1713350772.8694
-0.000273389043286443,-0.00301816989667714,1713350772.89288
-0.000165206613019109,-0.00300295231863856,1713350772.89358
-0.000174630506080575,-0.00302372337318957,1713350772.90041
-0.000228529403102584,-0.00302795437164605,1713350772.90156
-0.000201315502636135,-0.0029966295696795,1713350772.92444
-0.000197444984223694,-0.0030144676566124,1713350772.92563
-0.000182371557457373,-0.00303963827900589,1713350772.97222
-0.000165038320119493,-0.0030299979262054,1713350772.97296
-0.000162081341841258,-0.00301862671039999,1713350773.00051
-0.000145325087942183,-0.00301829027011991,1713350773.00166
-0.000135708862217143,-0.00303153647109866,1713350773.08028
-0.000126885992358439,-0.00303812371566892,1713350773.08118
-0.000139964045956731,-0.00303502241149545,1713350773.10456
-0.00015522979083471,-0.0030258628539741,1713350773.10629
-0.00017806829418987,-0.00302119902335107,1713350773.13672
-0.000199223984964192,-0.00301223201677203,1713350773.13775
-0.000197541143279523,-0.00301004434004426,1713350773.16479
-0.000224202100071125,-0.0030098520219326,1713350773.16604
-0.000238698557950556,-0.00301819411106408,1713350773.18882
-0.000234010643907823,-0.00302192033268511,1713350773.19001
-0.000208383426070213,-0.00300307245925069,1713350773.22077
-0.000219995010411367,-0.00298867211677134,1713350773.22206
-0.000203479154151864,-0.00298881647177041,1713350773.24841
-0.00025100729544647,-0.00300360145047307,1713350773.24966
-0.000247857999056578,-0.0030034810770303,1713350773.30469
-0.000252521858783439,-0.00300956354476511,1713350773.30585
-0.000247256975853816,-0.00299989921040833,1713350773.35264
-0.000244901020778343,-0.00298016192391515,1713350773.35396
-0.000251680437941104,-0.00297756539657712,1713350773.38853
-0.000259974418440834,-0.00296261231414974,1713350773.38972
-0.000271105207502842,-0.00296061695553362,1713350773.41703
-0.000258844520431012,-0.00294232205487788,1713350773.41761
-0.000250959215918556,-0.00294097582809627,1713350773.45657
-0.000236318534007296,-0.00294133648276329,1713350773.45774
-0.00023514055646956,-0.00294119212776422,1713350773.49724
-0.00022711101337336,-0.0029609533958137,1713350773.49783
-0.000232808612054214,-0.00297237280756235,1713350773.54079
-0.000228048593271524,-0.00297883967868984,1713350773.54177
-0.000229082332225516,-0.00298184459097683,1713350773.62415
-0.000235981962759979,-0.00297540193423629,1713350773.62527
-0.000240261186263524,-0.00297492113895714,1713350773.64418
-0.000238410066231154,-0.00297468062490225,1713350773.64554
-0.000238698557950556,-0.00297823850996792,1713350773.7045
-0.000233289421885274,-0.00299110030755401,1713350773.70527
-0.000224706949666142,-0.00299600465223193,1713350773.72493
-0.000198647001525387,-0.00300360145047307,1713350773.72604
-0.00021643700893037,-0.00300444290041924,1713350773.74036
-0.000202926225028932,-0.00300146173685789,1713350773.74164
-0.000183549549547024,-0.00300456304103136,1713350773.78856
-0.000209321005968377,-0.00300081260502338,1713350773.78974
-0.000213263658224605,-0.00297792605124414,1713350773.8167
-0.00019169929146301,-0.0029819889459759,1713350773.81804
-0.000180352159077302,-0.00294215371832252,1713350773.88087
-0.000245838600676507,-0.00292155100032687,1713350773.88239
-0.000154676847159863,-0.0029001550283283,1713350773.92095
-0.000220379661186598,-0.00292207999154925,1713350773.92206
-0.000356304895831272,-0.00291126174852252,1713350773.94873
-5.90676136198454E-05,-0.00288306199945509,1713350773.94973
-0.000161528412718326,-0.00294734654016793,1713350773.97309
-0.000210667276405729,-0.00289101945236325,1713350773.97393
-0.000249661039561033,-0.00291597354225814,1713350774.0207
-0.000276033504633233,-0.00290695833973587,1713350774.0224
-0.000147657017805614,-0.00288219656795263,1713350774.11237
-0.000206195734790526,-0.00290352059528232,1713350774.11336
-0.00019386294297874,-0.00290789594873786,1713350774.14452
-0.000194776483112946,-0.00291532441042364,1713350774.14567
-0.000275576749118045,-0.00294859660789371,1713350774.18436
-0.000310483621433377,-0.00288823083974421,1713350774.18516
-0.000125900318380445,-0.0029200604185462,1713350774.20443
-0.000187804718734697,-0.00297463242895901,1713350774.20558
-0.00030454559600912,-0.00294227385893464,1713350774.22895
-0.000214994579437189,-0.00293965358287096,1713350774.22979
-0.000182972566108219,-0.00293042208068073,1713350774.30469
-0.000275071884971112,-0.00293203280307353,1713350774.30596
