biceps,triceps,t
-0.00639394298195839,-3.75032468582503E-05,1713350785.34504
-0.00635701650753617,-1.81746509042569E-05,1713350785.34639
-0.00641807960346341,-6.47652195766568E-05,1713350785.39686
-0.00638108141720295,-5.08938283019234E-05,1713350785.39864
-0.00640257354825735,-3.94745729863644E-05,1713350785.43817
-0.00640129949897528,-5.46201117685996E-05,1713350785.43903
-0.0063977655954659,-5.12063561473042E-05,1713350785.53741
-0.00638456735759974,-2.01700149773387E-05,1713350785.53843
-0.00639411108568311,-0.000107365063740872,1713350785.56114
-0.00637184968218207,-4.59655166196171E-05,1713350785.56275
-0.00639168312773109,-5.46441551705357E-05,1713350785.58074
-0.00636629620566964,-5.49566793779377E-05,1713350785.58187
-0.00639528920874,-0.000118303512863349,1713350785.60534
-0.00642185425385833,-8.83249522303231E-05,1713350785.60667
-0.00638064835220575,-0.000122318277135491,1713350785.62852
-0.00636050244793296,-8.36370454635471E-05,1713350785.63004
-0.00638086488470435,-3.31519077008124E-05,1713350785.67307
-0.00637773983180523,-0.000108807500510011,1713350785.67457
-0.00636656070128083,-9.70997498370707E-05,1713350785.71674
-0.00638093706220388,-8.18820917629637E-05,1713350785.71802
-0.00636067101731896,-6.42363302176818E-05,1713350785.74094
-0.00636576768010855,-8.35168466437608E-05,1713350785.74236
-0.00636095926165581,-8.81807136465795E-05,1713350785.80091
-0.00639026472344995,-8.91182935447432E-05,1713350785.8025
-0.0064332252368331,-9.0632849605754E-05,1713350785.83697
-0.00636608013883233,-8.35649261716753E-05,1713350785.83852
-0.00637867720797658,-0.00010361473687226,1713350785.88536
-0.00625573378056288,-9.15223499760032E-05,1713350785.88681
-0.00617808289825916,-7.51266998122446E-05,1713350785.91324
-0.00646822806447744,-0.000136237751576118,1713350785.92508
-0.0062471516430378,-8.06800599093549E-05,1713350785.96136
-0.00635860348120332,-0.000117750576464459,1713350785.96268
-0.00636285869404674,-0.000118880481750239,1713350786.02091
-0.00624034786596894,-8.05839008535259E-05,1713350786.02194
